"","Yr","Seas","Fleet","catch","catch_se"
"1",1981,1,2,0,0.05
"2",1981,2,2,69.94,0.05
"3",1982,1,2,0,0.05
"4",1982,2,2,358.41,0.05
"5",1983,1,2,0,0.05
"6",1983,2,2,114.36,0.05
"7",1984,1,2,0,0.05
"8",1984,2,2,3497.6,0.05
"9",1985,1,2,0,0.05
"10",1985,2,2,1011.41,0.05
"11",1986,1,2,0,0.05
"12",1986,2,2,1336.79,0.05
"13",1987,1,2,0,0.05
"14",1987,2,2,3460.28,0.05
"15",1988,1,2,0,0.05
"16",1988,2,2,2214.38,0.05
"17",1989,1,2,0,0.05
"18",1989,2,2,6262.98,0.05
"19",1990,1,2,0,0.05
"20",1990,2,2,11178.27,0.05
"21",1991,1,2,0,0.05
"22",1991,2,2,7402.98,0.05
"23",1992,1,2,0,0.05
"24",1992,2,2,21070.85,0.05
"25",1993,1,2,0,0.05
"26",1993,2,2,11679.32,0.05
"27",1994,1,2,0,0.05
"28",1994,2,2,40439.57,0.05
"29",1995,1,2,0,0.05
"30",1995,2,2,26820.27,0.05
"31",1996,1,2,0,0.05
"32",1996,2,2,19489.95,0.05
"33",1997,1,2,0,0.05
"34",1997,2,2,24916.29,0.05
"35",1998,1,2,0,0.05
"36",1998,2,2,63812.26,0.05
"37",1999,1,2,0,0.05
"38",1999,2,2,58889.27,0.05
"39",2000,1,2,0,0.05
"40",2000,2,2,35341.42,0.05
"41",2001,1,2,0,0.05
"42",2001,2,2,41513.06,0.05
"43",2002,1,2,0,0.05
"44",2002,2,2,36906.76,0.05
"45",2003,1,2,0,0.05
"46",2003,2,2,22672.97,0.05
"47",2004,1,2,0,0.05
"48",2004,2,2,25890.59,0.05
"49",2005,1,2,0,0.05
"50",2005,2,2,30364.2,0.05
"51",2006,1,2,0,0.05
"52",2006,2,2,39900.28,0.05
"53",2007,1,2,0,0.05
"54",2007,2,2,42910.05,0.05
"55",2008,1,2,0,0.05
"56",2008,2,2,41198.49,0.05
"57",2009,1,2,0,0.05
"58",2009,2,2,31146.46,0.05
"59",2010,1,2,0,0.05
"60",2010,2,2,27267.62,0.05
"61",2011,1,2,0,0.05
"62",2011,2,2,23189.9,0.05
"63",2012,1,2,0,0.05
"64",2012,2,2,13884.9,0.05
"65",2013,1,2,0,0.05
"66",2013,2,2,5625.03,0.05
"67",2014,1,2,0,0.05
"68",2014,2,2,727.71,0.05
"69",2015,1,2,0,0.05
"70",2015,2,2,185.82,0.05
"71",2016,1,2,0,0.05
"72",2016,2,2,8081.11,0.05
